"RECYEAR","avg.LIVEGRASS"
1996,50.0316666666667
1996,29.0533333333333
1996,34.71
1996,26.75
1996,40.5366666666667
1996,79.225
1996,80.3866666666667
1996,40.4566666666667
1996,42.95
1996,33.0866666666667
1996,28.5116666666667
1996,29.5416666666667
1996,30.0283333333333
1996,26.975
1996,32.9633333333333
1996,40.3083333333333
1996,28.7133333333333
1996,40.2116666666667
1996,56.8916666666667
1996,35.5683333333333
1996,33.9366666666667
1996,45.2916666666667
1996,23.4516666666667
1996,34.3483333333333
1996,19.1133333333333
1996,19.28
1996,29.28
1996,27.17
1996,28.3483333333333
1997,35.9
1997,37.6483333333333
1997,26.7133333333333
1997,27.7266666666667
1997,20.355
1997,23.3216666666667
1997,31.8966666666667
1997,79.4166666666667
1997,34.5333333333333
1997,39.065
1997,26.0533333333333
1997,18.8133333333333
1997,19.2983333333333
1997,19.995
1997,35.0666666666667
1997,38.0233333333333
1997,55.8583333333333
1997,43.5733333333333
1997,45.765
1997,44.5033333333333
1997,27.0983333333333
1997,23.98
1997,27.855
1997,17.85
1997,20.03
1997,10.9883333333333
1997,17.4416666666667
1997,31.9016666666667
1997,16.575
1997,17.3883333333333
1998,57.8233333333333
1998,42.505
1998,34.515
1998,28.3983333333333
1998,23.9266666666667
1998,40.5816666666667
1998,47.6616666666667
1998,88.6116666666667
1998,39.84
1998,54.5183333333333
1998,24.695
1998,28.9116666666667
1998,27.7983333333333
1998,24.8133333333333
1998,33.9066666666667
1998,31.0016666666667
1998,39.9416666666667
1998,31.9733333333333
1998,36.6233333333333
1998,82.6983333333333
1998,31.9133333333333
1998,30.895
1998,29.84
1998,33.7766666666667
1998,25.2366666666667
1998,20.11
1998,28.6216666666667
1998,33.3966666666667
1998,23.6966666666667
1998,22.8183333333333
1999,75.9533333333333
1999,52.1133333333333
1999,54.9533333333333
1999,35.41
1999,41.3183333333333
1999,52.515
1999,102.508333333333
1999,86.7083333333333
1999,47.3333333333333
1999,77.5866666666667
1999,62.03
1999,41.525
1999,48.5616666666667
1999,48.7433333333333
1999,41.5266666666667
1999,69.8983333333333
1999,70.68
1999,56.9416666666667
1999,66.1733333333333
1999,123.595
1999,53.4033333333333
1999,49.505
1999,78.6883333333333
1999,42.4816666666667
1999,45.2483333333333
1999,45.8466666666667
1999,48.0566666666667
1999,51.0616666666667
1999,40.9833333333333
1999,44.7466666666667
2000,56.955
2000,42.9983333333333
2000,58.2933333333333
2000,37.8666666666667
2000,40.2483333333333
2000,44.86
2000,31.455
2000,234.678333333333
2000,52.7016666666667
2000,51.2816666666667
2000,62.9
2000,45.555
2000,48.6333333333333
2000,36.5133333333333
2000,56.8083333333333
2000,58.1283333333333
2000,104.803333333333
2000,79.0666666666667
2000,61.1
2000,61.4433333333333
2000,42.89
2000,29.0566666666667
2000,55.455
2000,23.6783333333333
2000,20
2000,25.6466666666667
2000,50.9616666666667
2000,52.11
2000,36.46
2000,21.48
2001,48.8983333333333
2001,50.6316666666667
2001,50.87
2001,35.7133333333333
2001,26.3266666666667
2001,40.68
2001,30.38
2001,140.731666666667
2001,44.8166666666667
2001,41.8783333333333
2001,35.5483333333333
2001,28.88
2001,23.5283333333333
2001,19.9616666666667
2001,53.3766666666667
2001,65.7866666666667
2001,110.04
2001,48.7533333333333
2001,87.26
2001,37.1466666666667
2001,43.5816666666667
2001,29.1266666666667
2001,42.7666666666667
2001,34.72
2001,40.9716666666667
2001,30.3116666666667
2001,40.0766666666667
2001,40.05
2001,28.5533333333333
2001,31.1983333333333
2002,39.56
2002,38.4033333333333
2002,46.135
2002,37.0116666666667
2002,27.0116666666667
2002,51.98
2002,33.56
2002,118.986666666667
2002,34.42
2002,38.8333333333333
2002,41.0083333333333
2002,24.7433333333333
2002,25.9416666666667
2002,22.4966666666667
2002,48.42
2002,57.135
2002,57.075
2002,62.1016666666667
2002,42.57
2002,86.6933333333333
2002,21.705
2002,31.815
2002,29.635
2002,21.6466666666667
2002,18.5816666666667
2002,12.4866666666667
2002,19.5883333333333
2002,25.51
2002,12.5083333333333
2002,13.3016666666667
2003,38.92
2003,33.4266666666667
2003,45.1833333333333
2003,40.8466666666667
2003,28.5666666666667
2003,38.3416666666667
2003,25.3166666666667
2003,31.6466666666667
2003,44.7566666666667
2003,61.855
2003,53.5733333333333
2003,44.4966666666667
2003,37.3383333333333
2003,35.5283333333333
2003,41.0233333333333
2003,51.6683333333333
2003,64.505
2003,56.83
2003,43.985
2003,46.5633333333333
2003,37.2966666666667
2003,38.8283333333333
2003,45.8883333333333
2003,40.4016666666667
2003,42.2333333333333
2003,31.0283333333333
2003,34.1566666666667
2003,45.7533333333333
2003,36.6233333333333
2003,30.9066666666667
2004,71.3616666666667
2004,88.6533333333333
2004,52.145
2004,46.2633333333333
2004,36.9333333333333
2004,68.0483333333333
2004,54.77
2004,44.2433333333333
2004,42.9383333333333
2004,51.8983333333333
2004,41.1933333333333
2004,39.335
2004,45.945
2004,38.715
2004,65.37
2004,93.6433333333333
2004,99.745
2004,53.0666666666667
2004,69.9116666666667
2004,56.2316666666667
2004,35.7133333333333
2004,34.6766666666667
2004,51.4416666666667
2004,44.87
2004,40.8983333333333
2004,28.93
2004,38.3416666666667
2004,58.7716666666667
2004,54.7533333333333
2004,39.9716666666667
2005,65.29
2005,48.945
2005,45.32
2005,43.245
2005,30.15
2005,79.78
2005,64.0816666666667
2005,43.9283333333333
2005,90.81
2005,53.2533333333333
2005,42.6566666666667
2005,33.145
2005,39.0816666666667
2005,40.315
2005,105.601666666667
2005,77.4533333333333
2005,116.661666666667
2005,88.8333333333333
2005,69.475
2005,40.225
2005,58.5233333333333
2005,45.4366666666667
2005,48.7233333333333
2005,49.5233333333333
2005,44.5483333333333
2005,40.8083333333333
2005,43.615
2005,54.4766666666667
2005,45.36
2005,37.26
2006,56
2006,62.2833333333333
2006,58.8016666666667
2006,58.3
2006,42.915
2006,74.5916666666667
2006,53.1133333333333
2006,69.2
2006,49.2066666666667
2006,52.37
2006,44.01
2006,47.0566666666667
2006,52.6
2006,48.0733333333333
2006,94.705
2006,84.2133333333333
2006,100.505
2006,91.5983333333333
2006,81.8183333333333
2006,64.0816666666667
2006,53.88
2006,47.7783333333333
2006,59.8933333333333
2006,41.72
2006,35.2883333333333
2006,57.3616666666667
2006,47.62
2006,67.8283333333333
2006,55.0133333333333
2006,45.4883333333333
2007,63.6566666666667
2007,49.9033333333333
2007,56.5766666666667
2007,48.8833333333333
