"","RECYEAR","avg.FORBS"
"830",2006,1.83
"832",2006,4.565
"834",2006,20.7483333333333
"836",2006,11.9433333333333
"838",2006,9.16833333333333
"840",2006,3.25666666666667
"842",2006,0
"844",2006,0.0183333333333333
"846",2006,6.295
"848",2006,7.35333333333333
"850",2006,8.53333333333333
"852",2006,5.28
"854",2006,20.1916666666667
"856",2006,10.1883333333333
"858",2006,0.388333333333333
"860",2006,1.745
"862",2006,0
"864",2006,0.56
"866",2006,0.14
"868",2006,3.34333333333333
"870",2006,5.325
"872",2006,4.8
"874",2006,4.485
"876",2006,4.535
"878",2006,10.2116666666667
"880",2006,1.765
"882",2006,10.0266666666667
"884",2006,2.38333333333333
"886",2006,0.973333333333333
"888",2006,0.406666666666667
"890",2007,1.03833333333333
"892",2007,2.53333333333333
"894",2007,2.33333333333333
"896",2007,11.5266666666667
"898",2007,14.895
"900",2007,2.04833333333333
"902",2007,1.45833333333333
"904",2007,0
"906",2007,0.521666666666667
"908",2007,6.10333333333333
"910",2007,6.36333333333333
"912",2007,8.91666666666667
"914",2007,21.8983333333333
"916",2007,6.61833333333333
"918",2007,0.245
"920",2007,0.025
"922",2007,0.0333333333333333
"924",2007,1.12833333333333
"926",2007,1.70666666666667
"928",2007,19.5116666666667
"930",2007,8.43
"932",2007,3.27166666666667
"934",2007,5.47333333333333
"936",2007,9.99333333333333
"938",2007,3.63833333333333
"940",2007,2.08333333333333
"942",2007,13.6483333333333
"944",2007,8.34833333333333
"946",2007,1.06333333333333
"948",2007,3.34666666666667
"950",2008,0.64
"952",2008,5.98666666666667
"954",2008,8.83166666666667
"956",2008,10.0016666666667
"958",2008,11.335
"960",2008,1.265
"962",2008,0.0366666666666667
"964",2008,0
"966",2008,5.61166666666667
"968",2008,4.56333333333333
"970",2008,12.1216666666667
"972",2008,3.84833333333333
"974",2008,19.135
"976",2008,11.0016666666667
"978",2008,0.0966666666666667
"980",2008,1.82333333333333
"982",2008,2.17333333333333
"984",2008,4.76166666666667
"986",2008,0.555
"988",2008,43.93
"990",2008,7.71
"992",2008,3.53833333333333
"994",2008,4.40333333333333
"996",2008,4.24833333333333
"998",2008,11.1166666666667
"1000",2008,3.74833333333333
"1002",2008,11.9516666666667
"1004",2008,11.3033333333333
"1006",2008,1.84333333333333
"1008",2008,6.28333333333333
"1010",2009,1.78166666666667
"1012",2009,6.39833333333333
"1014",2009,3.55
"1016",2009,19.7
"1018",2009,16.405
"1020",2009,6.40333333333333
"1022",2009,0
"1024",2009,17.11
"1026",2009,5.77833333333333
"1028",2009,5.47
"1030",2009,6.12
"1032",2009,8.305
"1034",2009,12.8966666666667
"1036",2009,12.89
"1038",2009,1.70333333333333
"1040",2009,0.31
"1042",2009,1.63833333333333
"1044",2009,1.88
"1046",2009,0.196666666666667
"1048",2009,7.99
"1050",2009,8.20833333333333
"1052",2009,7.36
"1054",2009,14.1566666666667
"1056",2009,8.425
"1058",2009,4.75333333333333
"1060",2009,1.86166666666667
"1062",2009,6.8
"1064",2009,4.325
"1066",2009,2.17666666666667
"1068",2009,2.57666666666667
"1070",2010,15.3316666666667
"1072",2010,19.1466666666667
"1074",2010,4.67833333333333
"1076",2010,16.5583333333333
"1078",2010,8.78833333333333
"1080",2010,13.4116666666667
"1082",2010,0.0683333333333333
"1084",2010,25.78
"1086",2010,2.87166666666667
"1088",2010,5.94333333333333
"1090",2010,11.37
"1092",2010,9.56333333333333
"1094",2010,13.86
"1096",2010,17.075
"1098",2010,1.83
"1100",2010,3.82333333333333
"1102",2010,5.84833333333333
"1104",2010,11.3466666666667
"1106",2010,0.145
"1108",2010,8.59166666666667
"1110",2010,7.94
"1112",2010,6.61166666666667
"1114",2010,4.715
"1116",2010,5.77666666666667
"1118",2010,5.46333333333333
"1120",2010,1.29
"1122",2010,15.92
"1124",2010,5.12833333333333
"1126",2010,1.055
"1128",2010,10.3866666666667
"1130",2011,1.35833333333333
"1132",2011,0.933333333333333
"1134",2011,1.15833333333333
"1136",2011,4.225
"1138",2011,3.385
"1140",2011,1.93833333333333
"1142",2011,0.00333333333333333
"1144",2011,11.19
"1146",2011,0.161666666666667
"1148",2011,6.16666666666667
"1150",2011,8.17
"1152",2011,3.985
"1154",2011,8.48833333333333
"1156",2011,8.5
"1158",2011,0.295
"1160",2011,1.225
"1162",2011,4.01333333333333
"1164",2011,7.955
"1166",2011,0
"1168",2011,2.26166666666667
"1170",2011,2.93
"1172",2011,2.24
"1174",2011,8.33166666666667
"1176",2011,6.82833333333333
"1178",2011,2.86
"1180",2011,1.41166666666667
"1182",2011,9.69333333333333
"1184",2011,5.325
"1186",2011,2.31666666666667
"1188",2011,6.75666666666667
"1190",2012,1.99
"1192",2012,1.80166666666667
"1194",2012,0.703333333333333
"1196",2012,13.085
"1198",2012,4.53166666666667
"1200",2012,1.85666666666667
"1202",2012,1.71333333333333
"1204",2012,11.8816666666667
"1206",2012,1.085
"1208",2012,1.49666666666667
"1210",2012,3.52166666666667
"1212",2012,3.78833333333333
"1214",2012,5.52833333333333
"1216",2012,8.60166666666667
"1218",2012,0.54
"1220",2012,6.59333333333333
"1222",2012,13.3433333333333
"1224",2012,37.9683333333333
"1226",2012,9.455
